SessionSeg,Any,Accuracy,Fluency,Style,Critical,Minor
P00_Ist3_1,0.43333333333333335,0.175,0.075,0.18333333333333326,0.16666666666666666,0.26666666666666666
P00_Ist3_2,0.2916666666666667,0.16666666666666666,0.0,0.125,0.06944444444444445,0.2222222222222222
P00_Ist3_3,0.18181818181818185,0.08080808080808081,0.040404040404040414,0.060606060606060615,0.040404040404040414,0.1414141414141414
P00_Ist3_4,0.18421052631578946,0.16666666666666666,0.017543859649122806,0.0,0.10526315789473684,0.07894736842105263
P00_Ist3_5,0.20795107033639146,0.1345565749235474,0.03363914373088685,0.03975535168195719,0.048929663608562685,0.15902140672782875
P00_Ist3_6,0.3333333333333333,0.2380952380952381,0.023809523809523808,0.07142857142857142,0.2023809523809524,0.13095238095238096
P00_Ist3_7,0.27450980392156865,0.27450980392156865,0.0,0.0,0.2549019607843137,0.0196078431372549
P01_Ist1_1,0.3809523809523809,0.21428571428571427,0.16666666666666666,0.0,0.2619047619047619,0.11904761904761905
P01_Ist1_2,0.3004694835680751,0.2629107981220657,0.009389671361502348,0.028169014084507043,0.2535211267605634,0.046948356807511735
P01_Ist1_3,0.4084507042253521,0.3474178403755869,0.051643192488262914,0.009389671361502348,0.3333333333333333,0.07511737089201878
P01_Ist1_4,0.6851851851851852,0.5740740740740741,0.1111111111111111,0.0,0.5555555555555556,0.12962962962962962
P01_Ist1_5,0.5698924731182796,0.5483870967741935,0.0,0.021505376344086027,0.3870967741935484,0.1827956989247312
P01_Ist1_6,0.16417910447761194,0.1044776119402985,0.0,0.059701492537313425,0.03980099502487562,0.12437810945273632
P01_Ist2_1,0.08928571428571429,0.03571428571428571,0.029761904761904764,0.023809523809523808,0.017857142857142856,0.07142857142857142
P01_Ist2_2,0.25925925925925924,0.25925925925925924,0.0,0.0,0.09876543209876544,0.16049382716049382
P01_Ist2_3,0.2412280701754386,0.19298245614035087,0.03947368421052632,0.008771929824561403,0.17105263157894735,0.07017543859649122
P01_Ist2_4,0.5,0.5,0.0,0.0,0.456140350877193,0.04385964912280702
P01_Ist2_5,0.2146892655367232,0.10734463276836158,0.09604519774011301,0.011299435028248588,0.10734463276836158,0.10734463276836158
P01_Ist4_1,0.3125,0.2465277777777778,0.04861111111111111,0.017361111111111112,0.22569444444444445,0.08680555555555555
P01_Ist4_2,0.2619047619047619,0.18253968253968253,0.07936507936507936,0.0,0.21428571428571427,0.047619047619047616
P01_Ist4_3,0.5,0.5,0.0,0.0,0.5,0.0
P01_Ist4_4,0.16352201257861634,0.13836477987421386,0.012578616352201259,0.012578616352201259,0.10062893081761007,0.06289308176100629
P01_Ist5_1,0.3523809523809524,0.3523809523809524,0.0,0.0,0.32857142857142857,0.023809523809523808
P01_Ist5_2,0.4013605442176871,0.3401360544217687,0.0,0.061224489795918366,0.25170068027210885,0.14965986394557826
P01_Ist5_3,0.17543859649122806,0.17543859649122806,0.0,0.0,0.10526315789473684,0.07017543859649122
P01_Ist5_4,0.9666666666666668,0.9666666666666668,0.0,0.0,0.9666666666666668,0.0
P01_Ist5_5,0.3270440251572327,0.2138364779874214,0.05660377358490566,0.05660377358490566,0.2515723270440252,0.07547169811320754
P01_Ist5_6,0.4838709677419355,0.4408602150537633,0.04301075268817205,0.0,0.4408602150537633,0.04301075268817205
P02_Ist1_1,0.07407407407407407,0.07407407407407407,0.0,0.0,0.04938271604938271,0.02469135802469136
P02_Ist1_2,0.23157894736842105,0.11228070175438597,0.042105263157894736,0.07719298245614035,0.10175438596491228,0.12982456140350876
P02_Ist1_3,0.2350877192982456,0.2350877192982456,0.0,0.0,0.19649122807017544,0.038596491228070184
P02_Ist1_4,0.14942528735632185,0.057471264367816084,0.09195402298850576,0.0,0.02298850574712644,0.1264367816091954
P02_Ist1_5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
P02_Ist1_6,0.2207792207792208,0.14285714285714285,0.07792207792207792,0.0,0.20346320346320346,0.017316017316017316
P02_Ist2_1,0.0935672514619883,0.04678362573099415,0.023391812865497075,0.023391812865497075,0.04093567251461988,0.05263157894736842
P02_Ist2_2,0.2777777777777778,0.2777777777777778,0.0,0.0,0.18055555555555555,0.09722222222222222
P02_Ist2_3,0.38308457711442784,0.3631840796019901,0.01990049751243781,0.0,0.35323383084577115,0.02985074626865672
P02_Ist2_4,0.32608695652173914,0.2971014492753623,0.028985507246376805,0.0,0.286231884057971,0.03985507246376811
P02_Ist2_5,0.304093567251462,0.029239766081871343,0.2573099415204678,0.017543859649122806,0.19298245614035087,0.1111111111111111
P02_Ist3_1,0.1869918699186992,0.1869918699186992,0.0,0.0,0.08943089430894309,0.0975609756097561
P02_Ist3_2,0.15,0.06666666666666668,0.05,0.0,0.03333333333333333,0.08333333333333333
P02_Ist3_3,0.22857142857142854,0.1238095238095238,0.0,0.10476190476190476,0.10476190476190476,0.1238095238095238
P02_Ist3_4,0.35964912280701755,0.3508771929824561,0.0,0.0,0.3508771929824561,0.0
P02_Ist3_5,0.14333333333333334,0.13,0.013333333333333334,0.0,0.11,0.03333333333333333
