Seg,Any,Accuracy,Fluency,Style,Critical,Minor
Ist1_1,0.2105421871046871,0.12444359204469498,0.07915415061554767,0.004273504273504274,0.13293540675587245,0.0749358401778745
Ist1_2,0.24683529939388457,0.12900238035865552,0.08408410655220057,0.033748812483028516,0.13735401585876167,0.10948128353512292
Ist1_3,0.26685415497730175,0.21868861583464994,0.035544943775577584,0.012620595367074241,0.19023739418476263,0.07661676079253915
Ist1_4,0.3464288305883134,0.243128431274983,0.09802442528735632,0.0025252525252525255,0.21910834017515052,0.12456976891244133
Ist1_5,0.346375931705628,0.28725610580449285,0.05561466039407215,0.002688172043010753,0.27899957738667414,0.06655936085490165
Ist1_6,0.1463958098034539,0.0807154410979095,0.053029303710565204,0.01152308499375979,0.06743722916645428,0.07783060063578019
Ist2_1,0.13045370448490212,0.06640341612464915,0.05294647749172547,0.010296708366509736,0.03161040371896336,0.09803619826392099
Ist2_2,0.32583430678668773,0.2721649602601984,0.05078334364048649,0.0,0.2323936645365217,0.09055463936416316
Ist2_3,0.3493334636957525,0.2847812966843467,0.055182151062442446,0.009370015948963318,0.29035025526349967,0.05898320843225285
Ist2_4,0.341286894856108,0.30355831669790645,0.03610520153482492,0.0016233766233766235,0.28629799900240643,0.05498889585370159
Ist2_5,0.24056604619648783,0.12322087119726403,0.1097615008678244,0.007583674131399376,0.1391990825425307,0.10136696365395714
Ist3_1,0.32031784997812873,0.12134212332383063,0.15314239332096474,0.04583333333333333,0.16962117441211516,0.15069667556601354
Ist3_2,0.21298076923076922,0.11923076923076922,0.05096153846153846,0.03125,0.03851495726495727,0.1629273504273504
Ist3_3,0.2498946998946999,0.0916949416949417,0.11447681447681447,0.041341991341991347,0.13764283764283763,0.10987090987090989
Ist3_4,0.27043460925039875,0.24608870661502238,0.01827485380116959,0.0,0.23326308194729248,0.03110047846889952
Ist3_5,0.199644462740793,0.09195823204997516,0.09774739277032855,0.009938837920489297,0.09534732568371712,0.10429713705707588
Ist3_6,0.3875862068965517,0.3472824302134647,0.019573070607553367,0.017857142857142856,0.33760673234811167,0.047105911330049266
Ist3_7,0.22543962029256148,0.20123327108621225,0.011904761904761904,0.0,0.18045829442888267,0.0326797385620915
Ist4_1,0.2924362067704906,0.23281136301124236,0.05317643106083554,0.006448412698412698,0.20583104338993113,0.08660516338055951
Ist4_2,0.2070201040789276,0.1566893890423302,0.04881556352144587,0.0,0.15765900765900764,0.047845944904768435
Ist4_3,0.42447040993748475,0.39355676788491906,0.02949520233625365,0.0014184397163120566,0.3686689654269611,0.055801444510523636
Ist4_4,0.24055707497285822,0.19881752697742594,0.03298450848567577,0.00764392839864538,0.16369576587954632,0.07575019798220074
Ist5_1,0.26660365288917837,0.2176617476914899,0.04449746075324396,0.0044444444444444444,0.2001593112035941,0.06644434168558426
Ist5_2,0.3766536454736515,0.3012042031763505,0.060004270517897355,0.014396953750053482,0.2945457645854471,0.08105966285885424
Ist5_3,0.20284933219604318,0.13354418116650013,0.0611671014102849,0.004708097928436911,0.1317760838988489,0.06764329660637305
Ist5_4,0.4840996664366229,0.3571155394524959,0.12698412698412698,0.0,0.4497081320450886,0.03439153439153439
Ist5_5,0.3174419002087623,0.17449739065230993,0.13133189805482867,0.01161261150162371,0.21464558329842695,0.10279631691033535
Ist5_6,0.2984240857255938,0.2481699716294743,0.042772173951640645,0.0043859649122807015,0.23355008858853862,0.06177802190485702
Ist6_1,0.36161257822815773,0.2852686777303382,0.07473876406122244,0.0016051364365971107,0.29177509176929,0.06983748645886766
Ist6_2,0.19749488379996394,0.11052836222606141,0.0854304232636107,0.001536098310291859,0.07764214090188484,0.11985274289807912
Ist6_3,0.17806027861645216,0.0346819437823331,0.13504652190460495,0.0,0.03625898264385473,0.13346948304308334
Ist6_4,0.19011864768673864,0.12432371540986875,0.05829934144794572,0.007495590828924162,0.08736528372246229,0.10275336396427635
Ist6_5,0.3917375671976072,0.32064869857205974,0.07108886862554743,0.0,0.32046828431703395,0.0712692828805733
